_id,park_alani_isimleri,enlem,boylam
111,05 ZAFER,32.48976838961853,37.87056035031087
112,06 KOSKİ ZAFER,32.48278703694926,37.87064964369907
113,07 KONEVİ YERLEŞKESİ,32.48126368517911,37.86984212576476
114,08 GAR,32.47674423093265,37.86650202599935
115,01 YHT,32.49962630666603,37.89747480706631
116,02 MAKRO MARKET OTOPARKI,32.48474973860166,37.87882559198711
117,03 MEVLANA CİVARI,32.5045785080255,37.87158484791279
118,04 ESKİ BUĞDAY PAZARI OTOPARKI,32.49995259313839,37.86814129840424
119,05 İŞ BANKASI,32.49446817675894,37.87225572564124
120,06 ZİNDANKALE OTOPARKI,32.48736923496337,37.87330676687978
121,07 KONEVİ OTOPARKI,32.48657402348707,37.86954917093144
122,08 BALIK HALİ,32.48947481243932,37.86557001780805
123,09 MERAM SON DURAK KATLI OTOPARK,32.42317169002428,37.85387062048397
124,01 OTOGAR TRAMVAY DURAĞI,32.51268250253445,37.94939008492842
125,02 OTOGAR İÇİ,32.50974617788482,37.95025705794097
126,03 HALİL ÜRÜN CAD,32.4987147868978,37.94794465316755
127,04 EYÜP SULTAN CAD,32.50910897392203,37.93697104002698
128,05 ANADOLU SAN,32.51129011648771,37.94166111642781
129,06 KENT PLAZA KAVŞAĞI,32.49569266865007,37.90402856486327
130,07 BELH KAVŞAĞI,32.50561926737322,37.89586291592486
131,08 KULE SİTE,32.49530636125036,37.8877730335075
132,09 MEVLANA,32.514859267614,37.86985891003301
133,10 ESKİ GARAJ,32.50187098919262,37.86589609776155
134,11 ADALHAN KAVŞAĞI,32.48505377718737,37.87516013267819
135,12 BAŞKENT HASTANESİ,32.45765994706102,37.88447463382552
136,13 MERAM BELEDİYESİ,32.47067320163221,37.85562378002427
